,worker_id,paid,task_id,batch_name,unit_id,try_last,try_current,action,time_submit,time_submit_parsed,doc_index,doc_id,doc_fact_check_ground_truth_label,doc_fact_check_ground_truth_value,doc_fact_check_source,doc_speaker_name,doc_speaker_party,doc_statement_date,doc_statement_description,doc_statement_text,doc_evidence_url,doc_completeness_value,doc_completeness_label,doc_completeness_index,doc_completeness_description,doc_comprehensibility_value,doc_comprehensibility_label,doc_comprehensibility_index,doc_comprehensibility_description,doc_precision_value,doc_precision_label,doc_precision_index,doc_precision_description,doc_informativeness_value,doc_informativeness_label,doc_informativeness_index,doc_informativeness_description,doc_unbiasedness_value,doc_unbiasedness_label,doc_unbiasedness_index,doc_unbiasedness_description,doc_accuracy_value,doc_accuracy_label,doc_accuracy_index,doc_accuracy_description,doc_speaker's-trustworthiness_value,doc_speaker's-trustworthiness_label,doc_speaker's-trustworthiness_index,doc_speaker's-trustworthiness_description,doc_truthfulness_value,doc_truthfulness_label,doc_truthfulness_index,doc_truthfulness_description,doc_confidence_value,doc_confidence_label,doc_confidence_index,doc_confidence_description,doc_accesses,doc_time_elapsed,doc_time_start,doc_time_end,global_outcome,global_form_validity,gold_checks,time_spent_check,time_check_amount,quartile,mean
229,5ca8f48c5689db001729e1f4,True,FakeNewsMultidimensional,V4-Prolific-1,unit_176,1,1,Next,"Wed, 24 Aug 2022 08:38:00 GMT",2022-08-24 08:38:00 00:00,3.0,courts-have-repeatedly-upheld-grants-gableman-says,pants-on-fire,0.0,Politifact,Michael Gableman,REP,2022-03-07,"stated on March 7, 2022 in TV interview:","Five Wisconsin cities received money for the 2020 election from Mark Zuckerberg, which amounted to ""a wave of massive election bribery.""",https://www.npr.org/2020/12/08/943242106/how-private-money-from-facebooks-ceo-saved-the-2020-election,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,1.0,partially-agree,3.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,1.0,false,1.0,,2.0,completely-agree,4.0,,1.0,102.25,1661329822.46,1661329924.71,True,True,True,True,True,other,2.2
234,5caa4435fd086000196ddf13,True,FakeNewsMultidimensional,V4-Prolific-1,unit_95,1,1,Next,"Tue, 23 Aug 2022 11:21:07 GMT",2022-08-23 11:21:07 00:00,0.0,research-submitted-fda-consideration-vaccine-autho,pants-on-fire,0.0,Politifact,Chip Roy,REP,2022-02-01,"stated on February 1, 2022 in a tweet:","Pfizer is ""literally using the force of government and the culture of fear to jab children under 5 â with zero basis in science â to make billions of dollars.""",https://www.yalemedicine.org/news/covid-19-vaccines-kids-under-5,-2.0,completely-disagree,0.0,,-1.0,partially-disagree,1.0,,-1.0,partially-disagree,1.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,1.0,false,1.0,,2.0,completely-agree,4.0,,1.0,62.06,1661253313.0,1661253375.06,True,True,True,True,True,other,1.4444444444444444
246,5cb67a7ab73e8a001507fae5,True,FakeNewsMultidimensional,V4-Prolific-1,unit_113,1,1,Next,"Tue, 23 Aug 2022 11:42:38 GMT",2022-08-23 11:42:38 00:00,4.0,tulsi-gabbard-falsely-claims-us-not-so-different-r,pants-on-fire,0.0,Politifact,Tulsi Gabbard,DEM,2022-03-15,"stated on March 15, 2022 in a Fox News appearance:","""What is happening here is not so different from what we're seeing happening in Russia, where you have got state TV and controlled messaging across the board.""",https://www.poynter.org/fact-checking/2022/tulsi-gabbard-falsely-claimed-the-us-is-not-so-different-from-russia-on-freedom-of-speech/,-1.0,partially-disagree,1.0,,1.0,partially-agree,3.0,,-1.0,partially-disagree,1.0,,-1.0,partially-disagree,1.0,,-1.0,partially-disagree,1.0,,0.0,neutral,2.0,,0.0,neutral,2.0,,2.0,barely-true,2.0,,-1.0,partially-disagree,1.0,,1.0,102.73,1661254446.76,1661254549.48,True,True,True,True,True,other,2.1
254,5cfb5233df7d70001619ca90,True,FakeNewsMultidimensional,V4-Prolific-1,unit_29,1,1,Next,"Wed, 24 Aug 2022 20:54:06 GMT",2022-08-24 20:54:06 00:00,4.0,gov-john-kasich-says-his-turnpike-plan-would-lower,pants-on-fire,0.0,Politifact,John Kasich,DEM,2022-03-22,"stated on March 20, 2013 in an interview televised March 22 on âState of Ohioâ:","Says that his transportation budget and Ohio Turnpike plan ""would make sure we have lower tolls than weâve had through the history of the turnpike.""",https://www.ideastream.org/news/kasich-reveals-plan-for-ohio-turnpike,1.0,partially-agree,3.0,,2.0,completely-agree,4.0,,1.0,partially-agree,3.0,,1.0,partially-agree,3.0,,-1.0,partially-disagree,1.0,,1.0,partially-agree,3.0,,1.0,partially-agree,3.0,,4.0,mostly-true,4.0,,1.0,partially-agree,3.0,,1.0,167.14,1661373663.27,1661373830.4,True,True,True,True,True,wrong_false,3.0
260,5d163b2c601cd7000172713c,True,FakeNewsMultidimensional,V4-Prolific-1,unit_105,1,1,Next,"Tue, 23 Aug 2022 11:30:19 GMT",2022-08-23 11:30:19 00:00,2.0,tulsi-gabbard-falsely-claims-us-not-so-different-r,pants-on-fire,0.0,Politifact,Tulsi Gabbard,DEM,2022-03-15,"stated on March 15, 2022 in a Fox News appearance:","""What is happening here is not so different from what we're seeing happening in Russia, where you have got state TV and controlled messaging across the board.""",https://www.poynter.org/fact-checking/2022/tulsi-gabbard-falsely-claimed-the-us-is-not-so-different-from-russia-on-freedom-of-speech/,1.0,partially-agree,3.0,,2.0,completely-agree,4.0,,1.0,partially-agree,3.0,,0.0,neutral,2.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,0.0,lie,0.0,,1.0,partially-agree,3.0,,1.0,35.27,1661253967.28,1661254002.56,True,True,True,True,True,other,2.1
266,5d1d13c26ce490001692baa2,True,FakeNewsMultidimensional,V4-Prolific-1,unit_132,1,1,Next,"Tue, 23 Aug 2022 14:50:39 GMT",2022-08-23 14:50:39 00:00,4.0,david-perdue-distorts-facts-georgia-agreement-abse,pants-on-fire,0.0,Politifact,David Perdue,REP,2022-04-24,"stated on April 24, 2022 in a debate:",A consent decree approved by Gov. Brian Kemp âinvalidated all voter ID lawâ and âallowed fraudulent ballots to be acceptedâ in the 2020 race.,https://www.msnbc.com/rachel-maddow-show/maddowblog/georgias-kemp-accidentally-tells-truth-anti-voting-law-rcna27133,1.0,partially-agree,3.0,,2.0,completely-agree,4.0,,1.0,partially-agree,3.0,,1.0,partially-agree,3.0,,-1.0,partially-disagree,1.0,,1.0,partially-agree,3.0,,-1.0,partially-disagree,1.0,,3.0,half-true,3.0,,1.0,partially-agree,3.0,,1.0,380.99,1661265271.09,1661265652.08,True,True,True,True,True,wrong_false,2.5
273,5d2215e737363e0001651a63,True,FakeNewsMultidimensional,V4-Prolific-1,unit_81,1,1,Finish,"Tue, 23 Aug 2022 11:46:35 GMT",2022-08-23 11:46:35 00:00,7.0,research-submitted-fda-consideration-vaccine-autho,pants-on-fire,0.0,Politifact,Chip Roy,REP,2022-02-01,"stated on February 1, 2022 in a tweet:","Pfizer is ""literally using the force of government and the culture of fear to jab children under 5 â with zero basis in science â to make billions of dollars.""",https://www.yahoo.com/news/fact-check-review-pfizer-vaccine-170008690.html,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,0.0,lie,0.0,,2.0,completely-agree,4.0,,1.0,374.87,1661254465.39,1661254840.27,True,True,True,True,True,other,1.4444444444444444
280,5d29cc8869a747001acdb3c1,True,FakeNewsMultidimensional,V4-Prolific-1,unit_61,1,1,Next,"Tue, 23 Aug 2022 10:22:13 GMT",2022-08-23 10:22:13 00:00,6.0,claim-kids-more-likely-have-access-crack-pipes-mas,pants-on-fire,0.0,Politifact,Troy Nehls,REP,2022-02-09,"stated on February 9, 2022 in an ad:","""In Joe Bidenâs America, your children are more likely to have access to a crack pipe than a mask-free education.""",https://www.houstonchronicle.com/politics/texas/politifact/article/troy-nehls-gop-drug-use-masks-crack-16901923.php,-1.0,partially-disagree,1.0,,-1.0,partially-disagree,1.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,0.0,lie,0.0,,2.0,completely-agree,4.0,,1.0,134.52,1661249347.5,1661249482.03,True,True,True,True,True,other,1.4
288,5d31266f466cc90019de4e43,True,FakeNewsMultidimensional,V4-Prolific-1,unit_99,1,1,Next,"Tue, 23 Aug 2022 12:02:10 GMT",2022-08-23 12:02:10 00:00,6.0,claim-nominee-ketanji-brown-jackson-wants-defund-p,pants-on-fire,0.0,Politifact,Mick McGuire,REP,2022-03-24,"stated on March 24, 2022 in an ad:","Ketanji Brown Jackson has ""a weak record â defund police, abolish ICE and now a completely open border policy.""",https://thearizonadailynews.com/fact-check-mick-mcguire-says-ketanji-brown-jackson-has-a-weak-record-and-wants-to-defund-police-houston-chronicle/,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,0.0,lie,0.0,,2.0,completely-agree,4.0,,1.0,158.51,1661255081.52,1661255240.03,True,True,True,True,True,other,1.5
300,5d338bb02381b7001761694e,True,FakeNewsMultidimensional,V4-Prolific-1,unit_83,1,1,Next,"Tue, 23 Aug 2022 14:42:35 GMT",2022-08-23 14:42:35 00:00,5.0,jd-vance-says-transgender-rights-drives-looming-co,pants-on-fire,0.0,Politifact,J.D. Vance,REP,2022-02-19,"stated on February 19, 2022 in an interview with Steve Bannon:","Says Joe Biden risks war with Russia because Vladimir Putin doesnât âbelieve in transgender rights.""",https://www.latestly.com/socially/social-viral/fact-check/jdvance1said-that-biden-risks-war-with-russia-because-putin-doesnt-believe-in-latest-tweet-by-politifact-3391533.html,-1.0,partially-disagree,1.0,,-1.0,partially-disagree,1.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,1.0,false,1.0,,-2.0,completely-disagree,0.0,,1.0,118.0,1661265147.05,1661265265.05,True,True,True,True,True,correct_false,1.2
306,5d453e8723a5bb0001492546,True,FakeNewsMultidimensional,V4-Prolific-1,unit_97,1,1,Next,"Tue, 23 Aug 2022 12:18:01 GMT",2022-08-23 12:18:01 00:00,3.0,common-core-testing-homosexual-possibly-can,pants-on-fire,0.0,Politifact,Charles Van Zant,REP,2022-05-16,"stated on March 22, 2014 in speech in March publicized May 16 by Think Progress:","A company hired to do Common Core testing in Florida will ""attract every one of your children to become as homosexual as they possibly can.""",https://www.washingtonpost.com/news/answer-sheet/wp/2014/05/20/florida-legislator-common-core-advocates-are-trying-to-make-your-children-gay/,0.0,neutral,2.0,,-1.0,partially-disagree,1.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-1.0,partially-disagree,1.0,,0.0,neutral,2.0,,0.0,lie,0.0,,2.0,completely-agree,4.0,,1.0,398.86,1661254699.4,1661255098.26,True,True,True,True,True,correct_false,0.7
314,5d463e632f66d00016120742,True,FakeNewsMultidimensional,V4-Prolific-1,unit_1,1,1,Next,"Mon, 22 Aug 2022 13:16:38 GMT",2022-08-22 13:16:38 00:00,4.0,ohios-mandel-repeats-false-claim-stolen-2020-elect,pants-on-fire,0.0,Politifact,Josh Mandel,DEM,2022-07-14,"stated on February 25, 2022 in a speech at the 2022 CPAC meeting in Florida:",The 2020 election âwas stolen from Donald J. Trump.â,https://www.newsweek.com/josh-mandel-ohio-debate-trump-election-stolen-1642075,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,-2.0,completely-disagree,0.0,,1.0,partially-agree,3.0,,0.0,neutral,2.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,0.0,lie,0.0,,1.0,partially-agree,3.0,,1.0,173.52,1661173600.14,1661173773.67,True,True,True,True,True,correct_false,1.1
322,5d5181fc842e8600171e5a78,True,FakeNewsMultidimensional,V4-Prolific-1,unit_122,1,1,Next,"Tue, 23 Aug 2022 11:43:39 GMT",2022-08-23 11:43:39 00:00,0.0,courts-have-repeatedly-upheld-grants-gableman-says,pants-on-fire,0.0,Politifact,Michael Gableman,REP,2022-03-07,"stated on March 7, 2022 in TV interview:","Five Wisconsin cities received money for the 2020 election from Mark Zuckerberg, which amounted to ""a wave of massive election bribery.""",http://wisconsinreport.com/newsone/fact-check-gableman-says-funding-from-zuckerberg-amounted-to-massive-election-bribery-2/,1.0,partially-agree,3.0,,1.0,partially-agree,3.0,,1.0,partially-agree,3.0,,0.0,neutral,2.0,,0.0,neutral,2.0,,0.0,neutral,2.0,,0.0,neutral,2.0,,3.0,half-true,3.0,,0.0,neutral,2.0,,1.0,40.35,1661254719.0,1661254759.35,True,True,True,True,True,other,2.2
334,5d6691bf6c7981001a7fdbd6,True,FakeNewsMultidimensional,V4-Prolific-1,unit_123,1,1,Next,"Tue, 23 Aug 2022 12:00:32 GMT",2022-08-23 12:00:32 00:00,4.0,gov-john-kasich-says-his-turnpike-plan-would-lower,pants-on-fire,0.0,Politifact,John Kasich,DEM,2022-03-22,"stated on March 20, 2013 in an interview televised March 22 on âState of Ohioâ:","Says that his transportation budget and Ohio Turnpike plan ""would make sure we have lower tolls than weâve had through the history of the turnpike.""",https://reason.org/commentary/gov-kasichs-ohio-turnpike-mistake/,-2.0,completely-disagree,0.0,,-1.0,partially-disagree,1.0,,-1.0,partially-disagree,1.0,,1.0,partially-agree,3.0,,-1.0,partially-disagree,1.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,0.0,lie,0.0,,2.0,completely-agree,4.0,,1.0,223.87,1661255233.17,1661255457.04,True,True,True,True,True,wrong_false,3.0
338,5d9f0981b22ffb00118e84cd,True,FakeNewsMultidimensional,V4-Prolific-1,unit_56,1,1,Next,"Tue, 23 Aug 2022 10:34:02 GMT",2022-08-23 10:34:02 00:00,0.0,republican-senate-hopeful-claims-montana-sen-jon-t,pants-on-fire,0.0,Politifact,Matthew Rosendale,REP,2022-07-18,"stated on July 31, 2017 in Voices of Montana radio show:","Says Sen. Jon Tester ""believes that we should have a national registration so that the people of Montana should have to ask permission before they purchase a gun, ask permission from the federal government.""",https://www.breitbart.com/politics/2017/08/22/fail-montana-democrats-try-cover-sen-john-testers-gun-control-vote/,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,0.0,neutral,2.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,4.0,mostly-true,4.0,,2.0,completely-agree,4.0,,1.0,409.78,1661248373.0,1661248782.78,True,True,True,True,True,wrong_false,3.3
346,5da8566c033d5700135798fb,True,FakeNewsMultidimensional,V4-Prolific-1,unit_17,1,1,Next,"Mon, 22 Aug 2022 15:44:37 GMT",2022-08-22 15:44:37 00:00,0.0,graphic-labeled-top-ten-most-unhealthy-us-cities-d,pants-on-fire,0.0,Politifact,Dan Bongino,REP,2022-02-05,"stated on February 5, 2022 in a TV segment graphic:","The âtop ten most unhealthy U.S. citiesâ are San Francisco; Seattle; Portland, Oregon; San Diego; Honolulu; Washington; Austin, Texas; Irving, Texas; Portland, Maine; and Denver.",https://www.usatoday.com/story/life/health-wellness/2022/04/08/healthiest-unhealthiest-cities-2022/7267869001/,1.0,partially-agree,3.0,,2.0,completely-agree,4.0,,1.0,partially-agree,3.0,,0.0,neutral,2.0,,1.0,partially-agree,3.0,,0.0,neutral,2.0,,0.0,neutral,2.0,,1.0,false,1.0,,1.0,partially-agree,3.0,,1.0,68.0,1661182560.0,1661182628.0,True,True,True,True,True,other,1.7
355,5db4ef4a2986a3000be1f886,True,FakeNewsMultidimensional,V4-Prolific-1,unit_174,1,1,Next,"Tue, 23 Aug 2022 13:00:49 GMT",2022-08-23 13:00:49 00:00,1.0,do-republicans-want-throw-doctors-who-break-aborti,pants-on-fire,0.0,Politifact,National Republican Senatorial Committee,REP,2022-05-03,"stated on May 3, 2022 in a memo to Republican senate candidates and lawmakers:",âRepublicans DO NOT want to throw doctorsâ in jail.,https://www.statesman.com/story/news/politics/politifact/2022/05/07/fact-check-do-republicans-seek-criminalize-providing-an-abortion/9676456002/,1.0,partially-agree,3.0,,1.0,partially-agree,3.0,,1.0,partially-agree,3.0,,2.0,completely-agree,4.0,,-2.0,completely-disagree,0.0,,1.0,partially-agree,3.0,,1.0,partially-agree,3.0,,4.0,mostly-true,4.0,,1.0,partially-agree,3.0,,1.0,47.27,1661259242.52,1661259289.79,True,True,True,True,True,other,2.0
361,5dd352c51c219b35931aefd1,True,FakeNewsMultidimensional,V4-Prolific-1,unit_185,1,1,Finish,"Wed, 24 Aug 2022 13:47:53 GMT",2022-08-24 13:47:53 00:00,7.0,common-core-testing-homosexual-possibly-can,pants-on-fire,0.0,Politifact,Charles Van Zant,REP,2022-05-16,"stated on March 22, 2014 in speech in March publicized May 16 by Think Progress:","A company hired to do Common Core testing in Florida will ""attract every one of your children to become as homosexual as they possibly can.""",https://archive.thinkprogress.org/florida-lawmaker-common-core-will-turn-every-one-of-your-children-gay-d76a564bd2ee/,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,1.0,partially-agree,3.0,,0.0,neutral,2.0,,1.0,partially-agree,3.0,,0.0,neutral,2.0,,2.0,barely-true,2.0,,1.0,partially-agree,3.0,,1.0,182.96,1661348209.86,1661348392.82,True,True,True,True,True,correct_false,0.7
369,5dd3cfb7b103ee3b428185b2,True,FakeNewsMultidimensional,V4-Prolific-1,unit_127,1,1,Finish,"Tue, 23 Aug 2022 12:16:15 GMT",2022-08-23 12:16:15 00:00,7.0,tulsi-gabbard-falsely-claims-us-not-so-different-r,pants-on-fire,0.0,Politifact,Tulsi Gabbard,DEM,2022-03-15,"stated on March 15, 2022 in a Fox News appearance:","""What is happening here is not so different from what we're seeing happening in Russia, where you have got state TV and controlled messaging across the board.""",https://thepoliticalinsider.com/tulsi-gabbard-warns-of-powerful-elite-who-want-to-silence-and-control-us/,-2.0,completely-disagree,0.0,,-1.0,partially-disagree,1.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-1.0,partially-disagree,1.0,,-2.0,completely-disagree,0.0,,0.0,lie,0.0,,1.0,partially-agree,3.0,,1.0,102.46,1661256571.95,1661256674.41,True,True,True,True,True,other,2.1
377,5dd9923922749791b319fc19,True,FakeNewsMultidimensional,V4-Prolific-1,unit_47,1,1,Finish,"Tue, 23 Aug 2022 10:30:32 GMT",2022-08-23 10:30:32 00:00,7.0,greene-twists-logic-and-facts-pedophilia-charge-ag,pants-on-fire,0.0,Politifact,Marjorie Taylor Greene,REP,2022-04-04,"stated on April 4, 2022 in a tweet:","Says Sens. Lisa Murkowski, Susan Collins and Mitt Romney âare pro-pedophile.â",https://www.newsweek.com/marjorie-taylor-greene-calls-gop-senators-supporting-brown-pro-pedophile-1694963,0.0,neutral,2.0,,0.0,neutral,2.0,,1.0,partially-agree,3.0,,0.0,neutral,2.0,,-2.0,completely-disagree,0.0,,0.0,neutral,2.0,,-1.0,partially-disagree,1.0,,1.0,false,1.0,,1.0,partially-agree,3.0,,1.0,500.19,1661249340.57,1661249840.76,True,True,True,True,True,correct_false,1.2
388,5dfdc45e617219a8e2e05c26,True,FakeNewsMultidimensional,V4-Prolific-1,unit_38,1,1,Finish,"Mon, 22 Aug 2022 17:05:33 GMT",2022-08-22 17:05:33 00:00,7.0,claim-kids-more-likely-have-access-crack-pipes-mas,pants-on-fire,0.0,Politifact,Troy Nehls,REP,2022-02-09,"stated on February 9, 2022 in an ad:","""In Joe Bidenâs America, your children are more likely to have access to a crack pipe than a mask-free education.""",https://drugabuse.com/crack-history-and-statistics/,1.0,partially-agree,3.0,,-1.0,partially-disagree,1.0,,-1.0,partially-disagree,1.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,0.0,neutral,2.0,,-1.0,partially-disagree,1.0,,2.0,barely-true,2.0,,2.0,completely-agree,4.0,,3.0,101.71,1661187558.67,1661187657.82,True,True,True,True,True,other,1.4
397,5e04b9be7adf4bf23f066a2a,True,FakeNewsMultidimensional,V4-Prolific-1,unit_155,1,1,Next,"Tue, 23 Aug 2022 12:26:01 GMT",2022-08-23 12:26:01 00:00,3.0,do-republicans-want-throw-doctors-who-break-aborti,pants-on-fire,0.0,Politifact,National Republican Senatorial Committee,REP,2022-05-03,"stated on May 3, 2022 in a memo to Republican senate candidates and lawmakers:",âRepublicans DO NOT want to throw doctorsâ in jail.,https://www.wral.com/fact-check-gop-group-says-republicans-don-t-want-to-throw-abortion-doctors-in-jail/20280486/,-2.0,completely-disagree,0.0,,1.0,partially-agree,3.0,,0.0,neutral,2.0,,-1.0,partially-disagree,1.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-1.0,partially-disagree,1.0,,2.0,barely-true,2.0,,1.0,partially-agree,3.0,,1.0,526.49,1661256786.04,1661257312.53,True,True,True,True,True,other,2.0
406,5e0d256753e8464d64940925,True,FakeNewsMultidimensional,V4-Prolific-1,unit_20,1,1,Next,"Mon, 22 Aug 2022 15:58:40 GMT",2022-08-22 15:58:40 00:00,4.0,tax-shift-lou-greenwald-sets-truth-o-meter-ablaze-,pants-on-fire,0.0,Politifact,Lou Greenwald,DEM,2022-07-06,"stated on July 15, 2012 in an interview on 6abcâs âInside Storyâ:","Says raising the state income tax rate on millionaires to offset property taxes for other residents is ""not a tax increase. It's a tax shift.""",https://www.cbpp.org/research/state-budget-and-tax/raising-state-income-tax-rates-at-the-top-a-sensible-way-to-fund-key,-1.0,partially-disagree,1.0,,1.0,partially-agree,3.0,,-1.0,partially-disagree,1.0,,-1.0,partially-disagree,1.0,,0.0,neutral,2.0,,1.0,partially-agree,3.0,,0.0,neutral,2.0,,4.0,mostly-true,4.0,,1.0,partially-agree,3.0,,1.0,109.0,1661183212.83,1661183321.83,True,True,True,True,True,wrong_false,3.5
411,5e3dd36d19be0d040a17f13f,True,FakeNewsMultidimensional,V4-Prolific-1,unit_73,1,1,Next,"Tue, 23 Aug 2022 11:03:10 GMT",2022-08-23 11:03:10 00:00,1.0,graphic-labeled-top-ten-most-unhealthy-us-cities-d,pants-on-fire,0.0,Politifact,Dan Bongino,REP,2022-02-05,"stated on February 5, 2022 in a TV segment graphic:","The âtop ten most unhealthy U.S. citiesâ are San Francisco; Seattle; Portland, Oregon; San Diego; Honolulu; Washington; Austin, Texas; Irving, Texas; Portland, Maine; and Denver.",https://www.usatoday.com/story/life/health-wellness/2022/04/08/healthiest-unhealthiest-cities-2022/7267869001/,-2.0,completely-disagree,0.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,0.0,lie,0.0,,2.0,completely-agree,4.0,,1.0,64.28,1661251944.6,1661252008.88,True,True,True,True,True,other,1.7
422,5e46d70ab1f1c5000d96800d,True,FakeNewsMultidimensional,V4-Prolific-1,unit_134,1,1,Finish,"Tue, 23 Aug 2022 12:16:06 GMT",2022-08-23 12:16:06 00:00,7.0,tulsi-gabbard-falsely-claims-us-not-so-different-r,pants-on-fire,0.0,Politifact,Tulsi Gabbard,DEM,2022-03-15,"stated on March 15, 2022 in a Fox News appearance:","""What is happening here is not so different from what we're seeing happening in Russia, where you have got state TV and controlled messaging across the board.""",https://www.poynter.org/fact-checking/2022/tulsi-gabbard-falsely-claimed-the-us-is-not-so-different-from-russia-on-freedom-of-speech/,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,1.0,partially-agree,3.0,,1.0,partially-agree,3.0,,2.0,completely-agree,4.0,,1.0,partially-agree,3.0,,4.0,mostly-true,4.0,,2.0,completely-agree,4.0,,1.0,131.24,1661256490.05,1661256621.28,True,True,True,True,True,other,2.1
425,5e4d1a18a89adc000d588aba,True,FakeNewsMultidimensional,V4-Prolific-1,unit_156,1,1,Finish,"Tue, 23 Aug 2022 12:52:01 GMT",2022-08-23 12:52:01 00:00,7.0,bob-good-invents-position-ketanji-brown-jackson-la,pants-on-fire,0.0,Politifact,Bob Good,DEM,2022-03-22,"stated on March 22, 2022 in a radio interview.:",Ketanji Brown Jackson âbelieves in abortion on demand up to the moment of birth.â,https://our.news/2022/03/29/politifact-bob-good-invents-a-position-for-ketanji-brown-jackson-on-late-term-abortions/,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,0.0,neutral,2.0,,0.0,neutral,2.0,,-1.0,partially-disagree,1.0,,0.0,neutral,2.0,,3.0,half-true,3.0,,1.0,partially-agree,3.0,,1.0,240.68,1661258129.9,1661258370.59,True,True,True,True,True,other,1.6
437,5e531b2205acdb33c0f5f24c,True,FakeNewsMultidimensional,V4-Prolific-1,unit_15,1,1,Next,"Mon, 22 Aug 2022 15:43:14 GMT",2022-08-22 15:43:14 00:00,3.0,claim-kids-more-likely-have-access-crack-pipes-mas,pants-on-fire,0.0,Politifact,Troy Nehls,REP,2022-02-09,"stated on February 9, 2022 in an ad:","""In Joe Bidenâs America, your children are more likely to have access to a crack pipe than a mask-free education.""",https://www.ontheissues.org/2020/Joe_Biden_Drugs.htm,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-1.0,partially-disagree,1.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,0.0,lie,0.0,,2.0,completely-agree,4.0,,1.0,106.38,1661182578.75,1661182685.12,True,True,True,True,True,other,1.4
445,5e556536e1cbcd56c3a50342,True,FakeNewsMultidimensional,V4-Prolific-1,unit_12,1,1,Next,"Mon, 22 Aug 2022 15:40:27 GMT",2022-08-22 15:40:27 00:00,3.0,claim-nominee-ketanji-brown-jackson-wants-defund-p,pants-on-fire,0.0,Politifact,Mick McGuire,REP,2022-03-24,"stated on March 24, 2022 in an ad:","Ketanji Brown Jackson has ""a weak record â defund police, abolish ICE and now a completely open border policy.""",https://www.houstonchronicle.com/politics/texas/politifact/article/Fact-check-Mick-McGuire-says-Ketanji-Brown-17031725.php,1.0,partially-agree,3.0,,1.0,partially-agree,3.0,,1.0,partially-agree,3.0,,1.0,partially-agree,3.0,,1.0,partially-agree,3.0,,1.0,partially-agree,3.0,,0.0,neutral,2.0,,3.0,half-true,3.0,,0.0,neutral,2.0,,1.0,142.44,1661182447.94,1661182590.38,True,True,True,True,True,other,1.5
448,5e6b034bffc1a90c3fe8c234,True,FakeNewsMultidimensional,V4-Prolific-1,unit_3,1,1,Next,"Mon, 22 Aug 2022 14:04:38 GMT",2022-08-22 14:04:38 00:00,6.0,georgias-david-perdue-said-elections-were-stolen-h,pants-on-fire,0.0,Politifact,David Perdue,REP,2022-03-25,"stated on March 25, 2022 in a radio interview:",The 2021 Georgia Senate runoff and the 2020 presidential election âwere stolen.â,https://www.allsides.com/blog/facts-vs-myths-was-2020-election-stolen,2.0,completely-agree,4.0,,2.0,completely-agree,4.0,,0.0,neutral,2.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,-2.0,completely-disagree,0.0,,1.0,false,1.0,,0.0,neutral,2.0,,1.0,305.61,1661176286.35,1661176591.96,True,True,True,True,True,other,2.1
